ASASSN-15fa		B		17.82657860691475		16.4723		123.82600000000001		17.391902901281192
ASASSN-15fa		V		16.915229422267334		15.9414		123.82600000000001		16.47905276382423
LSQ12gdj		B		16.530757180156527		15.945		140.0		15.585013050453501
LSQ12gdj		V		16.71307013541299		15.95		140.0		16.334863872311114
LSQ12gdj		I		17.2330000000001		16.55		140.0		16.874548178391297
OGLE-2012-SN-040		I		16.47973374897308		15.948		65.742		15.070360074058378
OGLE-2014-SN-024		I		20.282506021586947		19.689		480.0		19.45381866610549
OGLE-2014-SN-107		I		18.53356246567758		18.115		311.0		18.32317515820327
SN1986G		B		14.086623376623903		12.41		2.8		10.03332002684239
SN1991T		B		12.473873873873941		11.66		12.6		10.971684437299707
SN1991T		V		12.00832876712331		11.44		12.6		10.726525492711144
SN1991T		I		12.051805825242724		11.62		12.6		11.375475793548983
SN1995al		B		14.291666666666666		13.36		27.0		12.9444554874616
SN1995al		V		13.542857142857068		12.7		27.0		12.916547392223361
SN1995al		I		13.895789473684198		13.53		27.0		12.959408294479129
SN1995bd		B		18.30561983471075		17.29		55.0		14.715955761520831
SN1995bd		V		17.184132231404963		16.49		55.0		14.171677166479501
SN1996bo		B		17.546086956521		16.15		57.0		15.820016887056113
SN1996bo		V		16.43095238095223		15.75		57.0		14.223550468838354
SN1996bo		I		16.189666666666596		15.67		57.0		14.74753561169571
SN1997cn		B		19.314230769230754		17.46		72.0		17.56337709754091
SN1997cn		V		18.056651376146796		16.62		72.0		16.20369601426644
SN1997cn		I		17.200784313725517		16.4		72.0		15.557306403724994
SN1998ab		B		17.998977412731044		16.384		90.0		17.402421606744984
SN1998ab		V		17.027252566735132		16.215999999999998		90.0		15.469343799763404
SN1998ab		I		16.608761806981523		16.473		90.0		15.326292251508743
SN1998de		B		19.322599999999262		17.535		66.0		17.194664477707352
SN1998de		V		18.142989690721492		16.81		66.0		15.812716584925536
SN1998de		I		17.221249999999703		16.471		66.0		15.313988677709023
SN1998ec		B		18.270163636363552		16.705		85.0		17.143906119480334
SN1998ec		V		17.104193939393948		16.316		85.0		15.300284616450273
SN1998ec		I		16.832969696969712		16.452		85.0		15.466018022510873
SN1999ac		B		15.382204081632866		14.259		34.0		13.961799197456749
SN1999ac		V		14.926524271844594		14.136		34.0		13.315126391036394
SN1999ac		I		14.619944250871093		14.232999999999999		34.0		13.482746599148577
SN1999aw		I		17.53007142857135		17.116		178.2		17.109079355647047
SN1999by		B		15.458782178217993		13.602		13.1		13.869954795110967
SN1999by		V		14.384179999999818		13.135		13.1		12.138008298278468
SN1999by		I		13.736099999999743		12.83		13.1		11.970320078278544
SN1999cl		B		16.154300000000372		14.989		11.0		11.624942825792129
SN1999cl		V		14.741863333333226		13.869000000000002		11.0		11.025174062457584
SN1999cl		I		13.657388059701493		13.075		11.0		11.242612978029932
SN1999da		B		18.84021827411138		16.765		54.0		17.53490770266734
SN1999da		V		17.433165853658657		16.217		54.0		15.149276047895565
SN1999da		I		16.606893939393963		15.949		54.0		14.77886267790274
SN2001V		I		15.399380149628723		14.4		59.0		15.338593099211224
SN2001ay		B		17.653613483939434		16.719		137.0		16.47919001545063
SN2001ay		V		16.96349116918732		16.591		137.0		15.526588124528129
SN2001bg		B		15.189518703241811		14.181		21.0		12.606079935016005
SN2001bg		V		14.515090909090848		13.8		21.0		12.121808655487659
SN2001bg		I		14.839818181818174		14.171		21.0		12.739744837305953
SN2001br		B		17.71841353383437		16.476		92.7279		16.46208383662609
SN2001br		V		17.12927272727254		16.339		92.7279		15.493293667795143
SN2001br		I		17.006030075188082		16.36		92.7279		15.940180483243335
SN2001eh		B		17.383174496644273		16.821		160.0		15.81134670522587
SN2001eh		V		17.253147208121856		16.757		160.0		16.10459082190912
SN2001eh		I		17.510439597315248		16.992		160.0		16.98744091999083
SN2001en		B		16.526656410256514		15.237		64.0		15.784392864791513
SN2001en		V		15.871066666666707		15.198		64.0		14.45970680325285
SN2001en		I		16.119409599320424		15.392		64.0		15.222592598788214
SN2002bf		B		18.097384580980858		16.492		98.0		17.561457977948827
SN2002bf		I		17.075197444844743		16.589000000000002		98.0		15.888278829115414
SN2002bo		B		15.422251924671299		14.024		22.4		13.797723784433984
SN2002bo		V		14.3224203681055		13.605		22.4		12.266492389108436
SN2002bo		I		13.999879396985163		13.54		22.4		12.655070322826852
SN2002cu		B		17.742041666666843		16.356		105.053		17.12058271203061
SN2002cu		V		16.96347916666675		16.273		105.053		15.569786191196968
SN2002cu		I		17.150402985074656		16.452		105.053		16.267523907303797
SN2002cx		V		18.320416666666524		17.45		165.0		16.900861804402595
SN2002cx		I		17.495000000000342		17.3		165.0		16.706239721069903
SN2002dj		B		15.449060200668654		14.304		37.0		14.204381041739005
SN2002dj		V		14.811567164179092		14.128		37.0		13.290281023320027
SN2002dj		I		14.999700000000164		14.337		37.0		13.96307382033515
SN2002dl		B		17.865666666666908		16.112		57.0		16.784766945029777
SN2002dl		V		16.956868421052835		15.949		57.0		14.86070983099443
SN2002dl		I		16.157346938775643		15.913		57.0		14.451291584485045
SN2002es		B		18.578061435739357		17.307000000000002		75.0		16.07863007058328
SN2002es		V		17.241999999999795		16.752		75.0		14.447316316958105
SN2002es		I		16.66317258883262		16.211		75.0		15.270844022542398
SN2002he		B		17.500473684210263		16.383		109.0		16.47607648970241
SN2002he		V		16.91484210526305		15.8		109.0		16.476959752860804
SN2002he		I		17.20478947368425		16.466		109.0		16.39106996338737
SN2003fa		B		17.51719537787989		16.734		168.0		16.513607538149255
